(2864, 2254)#(2254, 1921)#(1921, 920)#(920, 4408)#(4408, 573)#(573, 2551)#(2551, 3097)#(3097, 4129)#(4129, 1152)#(1152, 1819)#(1819, 846)#(846, 318)#(318, 526)
(884, 1206)#(1206, 3382)#(3382, 1172)#(1172, 1182)#(1182, 3101)#(3101, 3395)#(3395, 3477)#(3477, 3478)#(3478, 3530)#(3530, 526)#(526, 1819)#(1819, 2775)#(2775, 3176)#(3176, 1756)
(2865, 2866)#(2866, 2789)#(2789, 2231)#(2231, 1965)#(1965, 3162)#(3162, 2950)#(2950, 4408)#(4408, 1910)#(1910, 2008)#(2008, 2715)#(2715, 2011)#(2011, 1819)#(1819, 4901)#(4901, 624)
(1567, 1801)#(1801, 2737)#(2737, 3018)#(3018, 112)#(112, 1819)#(1819, 3407)#(3407, 3457)#(3457, 3679)#(3679, 750)#(750, 3007)#(3007, 846)#(846, 1195)#(1195, 2493)#(2493, 3723)
(1187, 26)#(26, 590)#(590, 1172)#(1172, 1521)#(1521, 2629)#(2629, 3697)#(3697, 3734)#(3734, 3736)#(3736, 1819)#(1819, 51)#(51, 2528)#(2528, 2876)#(2876, 526)#(526, 318)
(898, 1431)#(1431, 3179)#(3179, 223)#(223, 1172)#(1172, 2778)#(2778, 2988)#(2988, 1693)#(1693, 2269)#(2269, 1819)#(1819, 3009)#(3009, 3044)#(3044, 846)#(846, 1198)#(1198, 2648)
(2775, 2802)#(2802, 156)#(156, 590)#(590, 790)#(790, 1075)#(1075, 2528)#(2528, 42)#(42, 2529)#(2529, 2518)#(2518, 2609)#(2609, 1819)#(1819, 2419)#(2419, 2489)#(2489, 2491)
(2308, 2309)#(2309, 2314)#(2314, 2357)#(2357, 1819)#(1819, 2313)#(2313, 2351)#(2351, 2399)#(2399, 2342)#(2342, 2343)#(2343, 2345)#(2345, 2360)#(2360, 2361)#(2361, 2404)#(2404, 2417)
(2679, 2775)#(2775, 2687)#(2687, 2753)#(2753, 2629)#(2629, 2642)#(2642, 2684)#(2684, 2493)#(2493, 2599)#(2599, 1819)#(1819, 2527)#(2527, 2876)#(2876, 2277)#(2277, 1188)#(1188, 1279)
(2680, 2625)#(2625, 2693)#(2693, 2730)#(2730, 2629)#(2629, 2630)#(2630, 2754)#(2754, 2618)#(2618, 2724)#(2724, 2493)#(2493, 2529)#(2529, 2609)#(2609, 1819)#(1819, 2594)#(2594, 2527)
(2040, 1233)#(1233, 479)#(479, 508)#(508, 1991)#(1991, 3663)#(3663, 3707)#(3707, 3762)#(3762, 1819)#(1819, 2194)#(2194, 296)#(296, 605)#(605, 1190)#(1190, 1373)#(1373, 1677)
(2679, 2775)#(2775, 2629)#(2629, 2619)#(2619, 2535)#(2535, 2517)#(2517, 2614)#(2614, 2501)#(2501, 2275)#(2275, 2807)#(2807, 1819)#(1819, 2345)#(2345, 2403)#(2403, 2600)#(2600, 2625)
(1868, 3416)#(3416, 2645)#(2645, 1097)#(1097, 3330)#(3330, 37)#(37, 1208)#(1208, 1194)#(1194, 1181)#(1181, 111)#(111, 1819)#(1819, 296)#(296, 4135)#(4135, 1176)
(1398, 1880)#(1880, 3130)#(3130, 4217)#(4217, 4786)#(4786, 846)#(846, 905)#(905, 2743)#(2743, 2863)#(2863, 3433)#(3433, 4972)#(4972, 1819)#(1819, 909)#(909, 1258)#(1258, 4901)
(888, 1221)#(1221, 1350)#(1350, 2)#(2, 989)#(989, 1602)#(1602, 1947)#(1947, 3412)#(3412, 526)#(526, 318)#(318, 590)#(590, 1174)#(1174, 605)#(605, 1819)#(1819, 2923)
(318, 111)#(111, 4881)#(4881, 2679)#(2679, 3063)#(3063, 3490)#(3490, 2206)#(2206, 1819)#(1819, 4900)#(4900, 2489)
(846, 1609)#(1609, 2242)#(2242, 2338)#(2338, 906)#(906, 2979)#(2979, 1819)#(1819, 2609)#(2609, 2775)#(2775, 321)#(321, 984)#(984, 98)#(98, 526)#(526, 2689)#(2689, 2314)
(594, 2297)#(2297, 770)#(770, 945)#(945, 2988)#(2988, 1819)#(1819, 1025)#(1025, 1209)#(1209, 296)#(296, 318)#(318, 526)#(526, 878)#(878, 1947)#(1947, 3332)#(3332, 35)
(355, 2714)#(2714, 1196)#(1196, 2027)#(2027, 1587)#(1587, 107)#(107, 281)#(281, 325)#(325, 1693)#(1693, 1780)#(1780, 1819)#(1819, 2005)#(2005, 3625)#(3625, 4053)#(4053, 304)
(1792, 1795)#(1795, 1813)#(1813, 1842)#(1842, 1925)#(1925, 1947)#(1947, 1804)#(1804, 1819)#(1819, 1944)#(1944, 1761)#(1761, 1802)#(1802, 1803)#(1803, 1811)#(1811, 1836)#(1836, 1837)
(2625, 2775)#(2775, 2597)#(2597, 2638)#(2638, 2501)#(2501, 2517)#(2517, 2599)#(2599, 2498)#(2498, 1819)#(1819, 2457)#(2457, 2528)#(2528, 2403)#(2403, 2614)#(2614, 2417)#(2417, 2527)
(1761, 1792)#(1792, 1795)#(1795, 1813)#(1813, 1814)#(1814, 1835)#(1835, 1837)#(1837, 1842)#(1842, 1925)#(1925, 1947)#(1947, 1819)#(1819, 1820)#(1820, 1821)#(1821, 1831)#(1831, 1833)
(2775, 894)#(894, 112)#(112, 952)#(952, 1910)#(1910, 1397)#(1397, 3804)#(3804, 4117)#(4117, 111)#(111, 1078)#(1078, 1116)#(1116, 1819)#(1819, 4755)#(4755, 107)#(107, 1880)
(1186, 1901)#(1901, 2345)#(2345, 668)#(668, 2876)#(2876, 4279)#(4279, 4396)#(4396, 4444)#(4444, 1819)#(1819, 457)#(457, 318)#(318, 590)#(590, 1871)#(1871, 1184)#(1184, 1172)
(1176, 2249)#(2249, 2438)#(2438, 826)#(826, 1504)#(1504, 2314)#(2314, 2517)#(2517, 2588)#(2588, 1819)#(1819, 2498)#(2498, 2678)#(2678, 2423)#(2423, 2485)#(2485, 2499)#(2499, 2600)
(3311, 3656)#(3656, 2054)#(2054, 127)#(127, 3370)#(3370, 4872)#(4872, 4881)#(4881, 3395)#(3395, 2275)#(2275, 1819)#(1819, 1091)#(1091, 2760)#(2760, 4887)#(4887, 2313)#(2313, 2093)
(260, 1206)#(1206, 2546)#(2546, 1176)#(1176, 1172)#(1172, 1703)#(1703, 2388)#(2388, 1127)#(1127, 1271)#(1271, 1211)#(1211, 2788)#(2788, 740)#(740, 1819)#(1819, 605)#(605, 1215)
(479, 40)#(40, 1664)#(1664, 2253)#(2253, 1669)#(1669, 1823)#(1823, 296)#(296, 3024)#(3024, 307)#(307, 526)#(526, 590)#(590, 605)#(605, 1819)#(1819, 1169)#(1169, 1648)
(590, 1618)#(1618, 2403)#(2403, 3368)#(3368, 3439)#(3439, 220)#(220, 2927)#(2927, 605)#(605, 318)#(318, 482)#(482, 526)#(526, 2775)#(2775, 834)#(834, 1662)#(1662, 1819)
(888, 3450)#(3450, 37)#(37, 372)#(372, 1251)#(1251, 3872)#(3872, 98)#(98, 215)#(215, 882)#(882, 1819)#(1819, 846)#(846, 1213)#(1213, 2842)#(2842, 1184)#(1184, 1198)
(111, 1222)#(1222, 2535)#(2535, 20)#(20, 1187)#(1187, 1494)#(1494, 2546)#(2546, 1174)#(1174, 4270)#(4270, 296)#(296, 1202)#(1202, 1819)#(1819, 885)#(885, 1070)#(1070, 1172)
(1164, 3073)#(3073, 1819)#(1819, 2608)#(2608, 4338)#(4338, 4902)#(4902, 4215)#(4215, 3063)#(3063, 318)#(318, 48)#(48, 1233)#(1233, 4794)#(4794, 2)#(2, 3030)#(3030, 4279)
(1174, 1576)#(1576, 3897)#(3897, 609)#(609, 1187)#(1187, 3016)#(3016, 3054)#(3054, 3765)#(3765, 4396)#(4396, 4444)#(4444, 3926)#(3926, 191)#(191, 2202)#(2202, 898)#(898, 1819)
(1187, 1940)#(1940, 70)#(70, 293)#(293, 1176)#(1176, 1236)#(1236, 3490)#(3490, 3705)#(3705, 3535)#(3535, 3538)#(3538, 1819)#(1819, 3541)#(3541, 1025)#(1025, 3416)#(3416, 2236)
(1947, 48)#(48, 4903)#(4903, 1199)#(1199, 1323)#(1323, 3063)#(3063, 4194)#(4194, 3901)#(3901, 2922)#(2922, 2623)#(2623, 1819)#(1819, 4278)#(4278, 4629)#(4629, 3931)#(3931, 1266)
(2251, 2420)#(2420, 2275)#(2275, 2277)#(2277, 2313)#(2313, 2400)#(2400, 1819)#(1819, 2236)#(2236, 2354)#(2354, 2403)#(2403, 2345)#(2345, 2358)#(2358, 2366)#(2366, 2312)#(2312, 2215)
(2988, 441)#(441, 1187)#(1187, 526)#(526, 1174)#(1174, 1914)#(1914, 3448)#(3448, 421)#(421, 1819)#(1819, 4135)#(4135, 51)#(51, 540)#(540, 2876)#(2876, 4881)#(4881, 735)
(308, 3184)#(3184, 663)#(663, 3536)#(3536, 3163)#(3163, 3732)#(3732, 1152)#(1152, 1819)#(1819, 2629)#(2629, 306)#(306, 296)#(296, 318)#(318, 590)#(590, 379)#(379, 376)
(1058, 1819)#(1819, 1947)#(1947, 1174)#(1174, 1181)#(1181, 1988)#(1988, 2070)#(2070, 3075)#(3075, 2629)#(2629, 2679)#(2679, 2775)#(2775, 2876)#(2876, 2924)#(2924, 2883)#(2883, 2967)
(2679, 2775)#(2775, 2682)#(2682, 2627)#(2627, 2800)#(2800, 2629)#(2629, 1819)#(1819, 2528)#(2528, 2399)#(2399, 2488)#(2488, 2411)#(2411, 2422)#(2422, 2782)#(2782, 2314)#(2314, 2501)
(3029, 1942)#(1942, 657)#(657, 4875)#(4875, 1819)#(1819, 526)#(526, 318)#(318, 51)#(51, 1181)#(1181, 4881)#(4881, 296)#(296, 590)#(590, 260)#(260, 589)#(589, 770)
(2312, 2493)#(2493, 2498)#(2498, 2501)#(2501, 2774)#(2774, 1819)#(1819, 2517)#(2517, 2614)#(2614, 2604)#(2604, 2421)#(2421, 2508)#(2508, 2680)#(2680, 2313)#(2313, 51)#(51, 155)
(2464, 2466)#(2466, 1819)#(1819, 2342)#(2342, 2345)#(2345, 2349)#(2349, 2350)#(2350, 2360)#(2360, 2410)#(2410, 2457)#(2457, 2459)#(2459, 2351)#(2351, 2366)#(2366, 2408)#(2408, 2420)
(2124, 3166)#(3166, 846)#(846, 3653)#(3653, 3663)#(3663, 290)#(290, 296)#(296, 1143)#(1143, 1198)#(1198, 1819)#(1819, 1255)#(1255, 1172)#(1172, 1190)#(1190, 1222)#(1222, 2406)
(2410, 2460)#(2460, 2457)#(2457, 1819)#(1819, 2399)#(2399, 2528)#(2528, 2422)#(2422, 2411)#(2411, 2488)#(2488, 2486)#(2486, 111)#(111, 126)#(126, 299)#(299, 351)#(351, 530)
(2419, 1628)#(1628, 1819)#(1819, 2308)#(2308, 355)#(355, 2517)#(2517, 1664)#(1664, 2588)#(2588, 1240)#(1240, 2314)#(2314, 356)#(356, 538)#(538, 1162)#(1162, 1589)#(1589, 1075)
(1271, 2171)#(2171, 2664)#(2664, 2594)#(2594, 2026)#(2026, 1896)#(1896, 3302)#(3302, 4116)#(4116, 4013)#(4013, 526)#(526, 51)#(51, 4881)#(4881, 1819)#(1819, 2775)#(2775, 4215)
(1187, 260)#(260, 3127)#(3127, 1887)#(1887, 3820)#(3820, 3395)#(3395, 3663)#(3663, 1819)#(1819, 2493)#(2493, 1675)#(1675, 1664)#(1664, 2807)#(2807, 2775)#(2775, 1986)#(1986, 906)
(307, 908)#(908, 3446)#(3446, 1984)#(1984, 74)#(74, 3411)#(3411, 1819)#(1819, 1208)#(1208, 296)#(296, 2247)#(2247, 2876)#(2876, 293)#(293, 4881)#(4881, 215)#(215, 1183)
(355, 424)#(424, 515)#(515, 1109)#(1109, 167)#(167, 1169)#(1169, 1567)#(1567, 2022)#(2022, 1819)#(1819, 2242)#(2242, 2275)#(2275, 2357)#(2357, 2419)#(2419, 2507)#(2507, 2517)
(1174, 111)#(111, 151)#(151, 892)#(892, 1159)#(1159, 1819)#(1819, 1947)#(1947, 2186)#(2186, 2410)#(2410, 2490)#(2490, 2616)#(2616, 2744)#(2744, 223)#(223, 1074)#(1074, 2517)
(1567, 260)#(260, 1564)#(1564, 1245)#(1245, 1887)#(1887, 3180)#(3180, 2542)#(2542, 1175)#(1175, 1999)#(1999, 2349)#(2349, 1972)#(1972, 1836)#(1836, 2420)#(2420, 499)#(499, 1819)
(111, 671)#(671, 1316)#(1316, 1241)#(1241, 1567)#(1567, 4053)#(4053, 4144)#(4144, 1983)#(1983, 4126)#(4126, 1284)#(1284, 246)#(246, 2924)#(2924, 1127)#(1127, 2741)#(2741, 1819)
(3778, 4355)#(4355, 4467)#(4467, 3789)#(3789, 1819)#(1819, 4881)#(4881, 846)#(846, 1198)#(1198, 51)#(51, 2876)#(2876, 296)#(296, 590)#(590, 479)#(479, 318)#(318, 586)
(1618, 3593)#(3593, 1782)#(1782, 4875)#(4875, 2779)#(2779, 663)#(663, 1819)#(1819, 664)#(664, 4881)#(4881, 1198)#(1198, 1186)#(1186, 4135)#(4135, 1190)#(1190, 846)#(846, 889)
(2639, 4881)#(4881, 664)#(664, 526)#(526, 1061)#(1061, 2489)#(2489, 355)#(355, 2876)#(2876, 1152)#(1152, 1819)#(1819, 1209)#(1209, 51)#(51, 2242)#(2242, 2275)#(2275, 1241)
(846, 888)#(888, 1206)#(1206, 1349)#(1349, 3332)#(3332, 1567)#(1567, 2633)#(2633, 4903)#(4903, 2254)#(2254, 2863)#(2863, 1819)#(1819, 4053)#(4053, 4794)#(4794, 4798)#(4798, 2775)
(1792, 1795)#(1795, 1811)#(1811, 1833)#(1833, 1842)#(1842, 1925)#(1925, 1947)#(1947, 2072)#(2072, 1794)#(1794, 1819)#(1819, 1820)#(1820, 1826)#(1826, 1828)#(1828, 1831)#(1831, 1840)
(82, 399)#(399, 492)#(492, 1942)#(1942, 2903)#(2903, 3490)#(3490, 3765)#(3765, 3910)#(3910, 4322)#(4322, 4674)#(4674, 584)#(584, 1612)#(1612, 1819)#(1819, 1887)#(1887, 2955)
(1219, 2641)#(2641, 1074)#(1074, 2446)#(2446, 3162)#(3162, 1839)#(1839, 2431)#(2431, 364)#(364, 1677)#(1677, 1169)#(1169, 660)#(660, 1819)#(1819, 2876)#(2876, 3178)#(3178, 235)
(479, 282)#(282, 1078)#(1078, 2254)#(2254, 2843)#(2843, 1819)#(1819, 2275)#(2275, 2967)#(2967, 2603)#(2603, 534)#(534, 581)#(581, 81)#(81, 1662)#(1662, 2194)#(2194, 26)
(537, 590)#(590, 1638)#(1638, 1807)#(1807, 3843)#(3843, 3395)#(3395, 3423)#(3423, 3536)#(3536, 3467)#(3467, 3698)#(3698, 3270)#(3270, 1819)#(1819, 2914)#(2914, 1128)#(1128, 296)
(496, 624)#(624, 1067)#(1067, 1206)#(1206, 1305)#(1305, 1612)#(1612, 1965)#(1965, 2862)#(2862, 2972)#(2972, 3035)#(3035, 1819)#(1819, 2275)#(2275, 2357)#(2357, 2408)#(2408, 2420)
(1757, 1758)#(1758, 1812)#(1812, 1813)#(1813, 1816)#(1816, 1819)#(1819, 1828)#(1828, 1842)#(1842, 1925)#(1925, 1947)#(1947, 1784)#(1784, 1785)#(1785, 1792)#(1792, 1826)#(1826, 1827)
(2760, 2775)#(2775, 2627)#(2627, 2811)#(2811, 2629)#(2629, 2649)#(2649, 124)#(124, 1819)#(1819, 51)#(51, 194)#(194, 1176)#(1176, 1070)#(1070, 2242)#(2242, 296)#(296, 909)
(2419, 2527)#(2527, 2528)#(2528, 2529)#(2529, 2542)#(2542, 2599)#(2599, 2775)#(2775, 2829)#(2829, 2883)#(2883, 2493)#(2493, 2548)#(2548, 2622)#(2622, 1819)#(1819, 2876)#(2876, 2619)
(3170, 3355)#(3355, 449)#(449, 2546)#(2546, 590)#(590, 2001)#(2001, 850)#(850, 1819)#(1819, 878)#(878, 1111)#(1111, 1112)#(1112, 1947)#(1947, 2419)#(2419, 3590)#(3590, 75)
(2056, 1105)#(1105, 1007)#(1007, 2451)#(2451, 2002)#(2002, 1792)#(1792, 1361)#(1361, 1917)#(1917, 927)#(927, 1819)
(318, 4901)#(4901, 4215)#(4215, 3905)#(3905, 1175)#(1175, 590)#(590, 2679)#(2679, 111)#(111, 355)#(355, 3063)#(3063, 1819)#(1819, 3412)#(3412, 1331)#(1331, 825)#(825, 971)
(1078, 2546)#(2546, 526)#(526, 1664)#(1664, 1172)#(1172, 1967)#(1967, 3826)#(3826, 3876)#(3876, 1670)#(1670, 318)#(318, 380)#(380, 590)#(590, 1582)#(1582, 1819)#(1819, 387)
(2775, 2687)#(2687, 2676)#(2676, 2619)#(2619, 2640)#(2640, 2629)#(2629, 1206)#(1206, 1819)#(1819, 1242)#(1242, 112)#(112, 605)#(605, 899)#(899, 1185)#(1185, 2780)#(2780, 1189)
(69, 479)#(479, 894)#(894, 2057)#(2057, 2247)#(2247, 2321)#(2321, 2833)#(2833, 3006)#(3006, 3190)#(3190, 3936)#(3936, 107)#(107, 1334)#(1334, 1397)#(1397, 1819)#(1819, 3085)
(2345, 2357)#(2357, 2419)#(2419, 2424)#(2424, 2464)#(2464, 1819)#(1819, 2351)#(2351, 2397)#(2397, 2459)#(2459, 2466)#(2466, 2360)#(2360, 2359)#(2359, 2365)#(2365, 2415)#(2415, 2347)
(2807, 2806)#(2806, 2775)#(2775, 2676)#(2676, 2607)#(2607, 2603)#(2603, 2111)#(2111, 2599)#(2599, 2529)#(2529, 1808)#(1808, 1189)#(1189, 2517)#(2517, 2540)#(2540, 2278)#(2278, 1819)
(1792, 1795)#(1795, 1842)#(1842, 1925)#(1925, 1947)#(1947, 1977)#(1977, 2044)#(2044, 2077)#(2077, 2085)#(2085, 1794)#(1794, 1796)#(1796, 1817)#(1817, 1819)#(1819, 1820)#(1820, 1949)
(2864, 2254)#(2254, 1921)#(1921, 920)#(920, 4408)#(4408, 573)#(573, 2551)#(2551, 3097)#(3097, 4129)#(4129, 1152)#(1152, 1819)#(1819, 846)#(846, 318)#(318, 526)
(479, 826)#(826, 1965)#(1965, 2028)#(2028, 1175)#(1175, 1206)#(1206, 1819)#(1819, 306)#(306, 2419)#(2419, 2599)#(2599, 296)#(296, 1583)#(1583, 2242)#(2242, 2493)#(2493, 2775)
(2679, 2687)#(2687, 2680)#(2680, 2641)#(2641, 2823)#(2823, 1819)#(1819, 2275)#(2275, 2314)#(2314, 2361)#(2361, 2419)#(2419, 2489)#(2489, 2528)#(2528, 2417)#(2417, 2501)#(2501, 2457)
(526, 2788)#(2788, 756)#(756, 895)#(895, 898)#(898, 1078)#(1078, 1281)#(1281, 4268)#(4268, 2680)#(2680, 23)#(23, 1545)#(1545, 693)#(693, 1819)#(1819, 4494)#(4494, 1211)
(1757, 1758)#(1758, 1802)#(1802, 1816)#(1816, 1819)#(1819, 1826)#(1826, 1828)#(1828, 1842)#(1842, 1925)#(1925, 1947)#(1947, 1786)#(1786, 1792)#(1792, 1799)#(1799, 1814)#(1814, 1817)
(2415, 4902)#(4902, 2922)#(2922, 2015)#(2015, 1472)#(1472, 971)#(971, 3365)#(3365, 1830)#(1830, 1664)#(1664, 1826)#(1826, 1819)#(1819, 4804)#(4804, 3820)#(3820, 2678)#(2678, 3932)
(1811, 1812)#(1812, 1813)#(1813, 1816)#(1816, 1831)#(1831, 1842)#(1842, 1925)#(1925, 1947)#(1947, 2086)#(2086, 2194)#(2194, 1819)#(1819, 1820)#(1820, 1823)#(1823, 1835)#(1835, 1840)
(2617, 2642)#(2642, 2679)#(2679, 2761)#(2761, 2619)#(2619, 2691)#(2691, 2627)#(2627, 2747)#(2747, 2629)#(2629, 2676)#(2676, 2638)#(2638, 2489)#(2489, 2517)#(2517, 1819)#(1819, 2399)
(1876, 999)#(999, 4765)#(4765, 261)#(261, 2312)#(2312, 702)#(702, 420)#(420, 903)#(903, 1976)#(1976, 4677)#(4677, 1019)#(1019, 939)#(939, 1184)#(1184, 1819)
(2679, 2687)#(2687, 2777)#(2777, 2876)#(2876, 2757)#(2757, 2824)#(2824, 2912)#(2912, 2723)#(2723, 2746)#(2746, 1819)#(1819, 2314)#(2314, 2420)#(2420, 2460)#(2460, 2489)#(2489, 2490)
(1664, 2093)#(2093, 583)#(583, 2043)#(2043, 4950)#(4950, 1172)#(1172, 2040)#(2040, 111)#(111, 1819)#(1819, 3428)#(3428, 4333)#(4333, 33)#(33, 1828)#(1828, 1191)#(1191, 1215)
(1245, 479)#(479, 112)#(112, 1253)#(1253, 1887)#(1887, 1819)#(1819, 2242)#(2242, 2275)#(2275, 2314)#(2314, 2419)#(2419, 2360)#(2360, 2493)#(2493, 2424)#(2424, 2528)#(2528, 2538)
(884, 1206)#(1206, 3382)#(3382, 1172)#(1172, 1182)#(1182, 3101)#(3101, 3395)#(3395, 3477)#(3477, 3478)#(3478, 3530)#(3530, 526)#(526, 1819)#(1819, 2775)#(2775, 3176)#(3176, 1756)
(2865, 2866)#(2866, 2789)#(2789, 2231)#(2231, 1965)#(1965, 3162)#(3162, 2950)#(2950, 4408)#(4408, 1910)#(1910, 2008)#(2008, 2715)#(2715, 2011)#(2011, 1819)#(1819, 4901)#(4901, 624)
(1567, 1801)#(1801, 2737)#(2737, 3018)#(3018, 112)#(112, 1819)#(1819, 3407)#(3407, 3457)#(3457, 3679)#(3679, 750)#(750, 3007)#(3007, 846)#(846, 1195)#(1195, 2493)#(2493, 3723)
(1187, 26)#(26, 590)#(590, 1172)#(1172, 1521)#(1521, 2629)#(2629, 3697)#(3697, 3734)#(3734, 3736)#(3736, 1819)#(1819, 51)#(51, 2528)#(2528, 2876)#(2876, 526)#(526, 318)
(898, 1431)#(1431, 3179)#(3179, 223)#(223, 1172)#(1172, 2778)#(2778, 2988)#(2988, 1693)#(1693, 2269)#(2269, 1819)#(1819, 3009)#(3009, 3044)#(3044, 846)#(846, 1198)#(1198, 2648)
(2775, 2802)#(2802, 156)#(156, 590)#(590, 790)#(790, 1075)#(1075, 2528)#(2528, 42)#(42, 2529)#(2529, 2518)#(2518, 2609)#(2609, 1819)#(1819, 2419)#(2419, 2489)#(2489, 2491)
(2308, 2309)#(2309, 2314)#(2314, 2357)#(2357, 1819)#(1819, 2313)#(2313, 2351)#(2351, 2399)#(2399, 2342)#(2342, 2343)#(2343, 2345)#(2345, 2360)#(2360, 2361)#(2361, 2404)#(2404, 2417)
(2679, 2775)#(2775, 2687)#(2687, 2753)#(2753, 2629)#(2629, 2642)#(2642, 2684)#(2684, 2493)#(2493, 2599)#(2599, 1819)#(1819, 2527)#(2527, 2876)#(2876, 2277)#(2277, 1188)#(1188, 1279)
(2680, 2625)#(2625, 2693)#(2693, 2730)#(2730, 2629)#(2629, 2630)#(2630, 2754)#(2754, 2618)#(2618, 2724)#(2724, 2493)#(2493, 2529)#(2529, 2609)#(2609, 1819)#(1819, 2594)#(2594, 2527)
(2040, 1233)#(1233, 479)#(479, 508)#(508, 1991)#(1991, 3663)#(3663, 3707)#(3707, 3762)#(3762, 1819)#(1819, 2194)#(2194, 296)#(296, 605)#(605, 1190)#(1190, 1373)#(1373, 1677)
(2679, 2775)#(2775, 2629)#(2629, 2619)#(2619, 2535)#(2535, 2517)#(2517, 2614)#(2614, 2501)#(2501, 2275)#(2275, 2807)#(2807, 1819)#(1819, 2345)#(2345, 2403)#(2403, 2600)#(2600, 2625)
(1868, 3416)#(3416, 2645)#(2645, 1097)#(1097, 3330)#(3330, 37)#(37, 1208)#(1208, 1194)#(1194, 1181)#(1181, 111)#(111, 1819)#(1819, 296)#(296, 4135)#(4135, 1176)
(1398, 1880)#(1880, 3130)#(3130, 4217)#(4217, 4786)#(4786, 846)#(846, 905)#(905, 2743)#(2743, 2863)#(2863, 3433)#(3433, 4972)#(4972, 1819)#(1819, 909)#(909, 1258)#(1258, 4901)
(888, 1221)#(1221, 1350)#(1350, 2)#(2, 989)#(989, 1602)#(1602, 1947)#(1947, 3412)#(3412, 526)#(526, 318)#(318, 590)#(590, 1174)#(1174, 605)#(605, 1819)#(1819, 2923)
(318, 111)#(111, 4881)#(4881, 2679)#(2679, 3063)#(3063, 3490)#(3490, 2206)#(2206, 1819)#(1819, 4900)#(4900, 2489)
(846, 1609)#(1609, 2242)#(2242, 2338)#(2338, 906)#(906, 2979)#(2979, 1819)#(1819, 2609)#(2609, 2775)#(2775, 321)#(321, 984)#(984, 98)#(98, 526)#(526, 2689)#(2689, 2314)
(594, 2297)#(2297, 770)#(770, 945)#(945, 2988)#(2988, 1819)#(1819, 1025)#(1025, 1209)#(1209, 296)#(296, 318)#(318, 526)#(526, 878)#(878, 1947)#(1947, 3332)#(3332, 35)
(355, 2714)#(2714, 1196)#(1196, 2027)#(2027, 1587)#(1587, 107)#(107, 281)#(281, 325)#(325, 1693)#(1693, 1780)#(1780, 1819)#(1819, 2005)#(2005, 3625)#(3625, 4053)#(4053, 304)
